# Extracted from Russian Wiktionary/Kaikki; review before redistribution.
али	же	
алкоголизировать	превращать в алкоголь	
алкоголизировать	насыщать алкоголем	
алкоголизировать	поить алкоголем	
алконостъ	морская птица алкиона	
алкооль	алкоголь	
алнь	лань	
алои	алоэ	
алоинъ	алойный	
алпаѹтъ	владелец	
алсосъ	Алсос	
алтабасъ	парча	
алтарь	жертвенник	
алтꙑнъ	алтын	
алфа	альфа	
алчущій	алчущий	
алъгѹи	сабур	
алъдии	ладья	
алъканиѥ	голод	
алъканиѥ	пост	
алъкати	голодать, ощущать голод	
алъкати	поститься, воздерживаться	
алъкота	голод	
алънии	лань	
алънищь	лошачок	
алъчиꙗ	голод	
алъчь	голод	
алъчьба	голод	
алъчьба	пост	
алъчьбьнъ	связанный с постом	
алъчьновати	голодать	
алъчьнъ	голодный	
алъчьнꙑи	голодный	
аль	алое поле	
алєксандрьскъ	александрийский	
алєлѹиꙗ	аллилуйя	
алєѯандриискъ	александрийский	
алѹмпиада	олимпиада	
алꙑи	яркий	
ама	яма	
амагиль	амагиль	
амасиискъ	амасийский	
амафоръ	покрывало	
амболъ	ход	
амидьскъ	Амиды	
аминадавовъ	Аминадавов	
аминадавъ	Аминадав	
аммасии	мотыга	
амомонъ	без порока	
аморѣискъ	аморейский	
амосъ	Аммос	
ампутировать	обычно мед. (что-либо у кого-либо или кому-либо) механически удалять (удалить) часть тела	
ампутировать	мед. (кого-либо) подвергать ампутации	
ампутировать	перен. насильственно устранять (устранить) что-либо	
амъфигѹи	амфигуи	
анагносаниѥ	чтение	
анагностъ	чтец	
анагностьскꙑи	анагностический	
анагностьство	чтение	
анагностьство	служба чтеца	
аналавъ	аналав	
анализировать	разлагать (разложить) целое на составные части, производить (произвести) анализ чего-л.; детально изучать (изучить), исследовать что-л	
анализировать	задумываться, рассуждать, критически мыслить, рефлексировать	
аналогии	аналой	
ананиꙗ	Анания	
анастасиꙗ	Анастасия	
анатолии	Анатолий	
анатомировать	перех. мед. рассекать (рассечь), вскрывать (вскрыть) с научной целью труп или части мертвого тела	
анатомировать	перен. терзать, кромсать, потрошить, рвать, раздирать	
анатомировать	неперех. заниматься анатомированием, упражняться в анатомировании	
анафора	анафора	
анаѯархъ	Анаксарх	
анаѳематствовать	проклинать (проклясть), отлучать (отлучить) от церкви и публично объявлять (объявить) об этом	
анаѳематствовать	публично проклинать (проклясть)	
анаѳематствовать	неперех. провозглашать (провозгласить) анафему, произносить (произнести) проклятия	
анаѳемствовать	проклинать (проклясть), отлучать (отлучить) от церкви и публично объявлять (объявить) об этом	
анаѳемствовать	публично проклинать (проклясть)	
анаѳемствовать	неперех. провозглашать (провозгласить) анафему, произносить (произнести) проклятия	
ангажировать	предлагать (предложить) артисту или труппе ангажемент, т. е. приглашать (пригласить) их на определённый срок для участия в спектаклях или концертах	
ангажировать	приглашать (пригласить) даму на танец	
ангажировать	нанимать (нанять) для выполнения какой-либо работы, для занятия какой-либо должности	
ангелъ	религ. ангел; сверхъестественное бесплотное существо, дух, Божий посланник, в живописи и архитектуре обычно изображаемый в виде светловолосого крылатого мальчика или юноши	
ангелъ	перен., разг. ангел; добрый, либо безгрешный человек; невинное дитя	
ангелъ	перен., поэт. обращение к любимой женщине	
ангельскы	ангельски	
ангельскій	ангельский	
англійскій	относящийся к Англии, к англичанам или их языку; иногда (ошибочно или расширительно) относящийся к Великобритании в целом	
англійскій	субстантивир., разг. английский язык	
ангєлитъ	участник секты	
ангєловъ	ангельский	
ангєловьць	член секты	
ангєлолѣпьнꙑи	ангелоподобный	
ангєлъ	ангел	
ангєлъ	религ. ангел	
ангєльнѣи	ангельский	
ангєльскъ	ангельский	
ангєльскꙑ	ангельски	
ангєльскꙑи	ангельский	
анестезировать	мед. искусственно вызывать (вызвать) анестезию у кого-л	
анестезировать	мед. лишать (лишить) чувствительности какую-л. часть тела	
анестезировать	перен. усыплять (усыпить)	
ани	ни	
анинъ	Анин	
анкѵра	якорь	
анкѵрьскъ	анкирский	
анна	Анна	
ано	а	
антиграфєѵсъ	антиграф	
антиохиискъ	антиохийский	
антипатъ	антипат	
антифонъ	антифон	
антихрьстъ	антихрист	
антихрьщь	антихристный	
антонии	Антоний	
анфраксъ	рубин	
анъгелъ	религ. ангел	
апа	надежда	
апамиискъ	апамийский	
